time_s,voltage_CH1_V,voltage_CH2_V
-0.0031695999987145294,-0.36,3.6399999
-0.003169199998709855,-0.32000002,3.6399999
-0.0031687999987051805,-0.36,3.6399999
-0.003168399998700506,-0.36,3.6399999
-0.0031679999986958317,-0.36,3.6399999
-0.0031675999986911572,-0.36,3.6399999
-0.003167199998686483,-0.36,3.6399999
-0.0031667999986818083,-0.36,3.6399999
-0.003166399998677134,-0.32000002,3.68
-0.0031659999986724595,-0.32000002,3.6399999
-0.003165599998667785,-0.32000002,3.6399999
-0.0031651999986631106,-0.36,3.6399999
-0.003164799998658436,-0.32000002,3.68
-0.0031643999986537617,-0.36,3.6
-0.0031639999986490873,-0.32000002,3.6399999
-0.003163599998644413,-0.32000002,3.6399999
-0.0031631999986397384,-0.36,3.6399999
-0.003162799998635064,-0.32000002,3.68
-0.0031623999986303895,-0.32000002,3.6399999
-0.003161999998625715,-0.32000002,3.68
-0.0031615999986210406,-0.36,3.6399999
-0.003161199998616366,-0.36,3.6399999
-0.0031607999986116918,-0.32000002,3.6399999
-0.0031603999986070173,-0.36,3.6399999
-0.003159999998602343,-0.36,3.6399999
-0.0031595999985976684,-0.32000002,3.6399999
-0.003159199998592994,-0.36,3.6399999
-0.0031587999985883196,-0.36,3.6
-0.003158399998583645,-0.36,3.6399999
-0.0031579999985789707,-0.32000002,3.6399999
-0.0031575999985742963,-0.36,3.6399999
-0.003157199998569622,-0.32000002,3.6399999
-0.0031567999985649474,-0.32000002,3.6399999
-0.003156399998560273,-0.32000002,3.6399999
-0.0031559999985555985,-0.36,3.6399999
-0.003155599998550924,-0.32000002,3.6399999
-0.0031551999985462496,-0.36,3.6399999
-0.003154799998541575,-0.36,3.6399999
-0.0031543999985369007,-0.32000002,3.6399999
-0.0031539999985322263,-0.32000002,3.6399999
-0.003153599998527552,-0.32000002,3.6399999
-0.0031531999985228774,-0.36,3.6399999
-0.003152799998518203,-0.32000002,3.6399999
-0.0031523999985135285,-0.32000002,3.6399999
-0.003151999998508854,-0.36,3.68
-0.0031515999985041797,-0.36,3.68
-0.0031511999984995052,-0.36,3.6399999
-0.003150799998494831,-0.32000002,3.6399999
-0.0031503999984901563,-0.32000002,3.6399999
-0.003149999998485482,-0.32000002,3.6399999
-0.0031495999984808075,-0.32000002,3.6399999
-0.003149199998476133,-0.36,3.6
-0.0031487999984714586,-0.36,3.6399999
-0.003148399998466784,-0.36,3.6399999
-0.0031479999984621097,-0.36,3.6399999
-0.0031475999984574353,-0.36,3.6399999
-0.003147199998452761,-0.36,3.6399999
-0.0031467999984480864,-0.32000002,3.6399999
-0.003146399998443412,-0.32000002,3.6399999
-0.0031459999984387375,-0.32000002,3.6399999
-0.003145599998434063,-0.36,3.6399999
-0.0031451999984293886,-0.32000002,3.6399999
-0.003144799998424714,-0.36,3.6399999
-0.0031443999984200398,-0.32000002,3.6399999
-0.0031439999984153653,-0.32000002,3.6399999
-0.003143599998410691,-0.32000002,3.6399999
-0.0031431999984060164,-0.32000002,3.6399999
-0.003142799998401342,-0.36,3.6399999
-0.0031423999983966676,-0.36,3.6399999
-0.003141999998391993,-0.32000002,3.6399999
-0.0031415999983873187,-0.36,3.6399999
-0.0031411999983826443,-0.32000002,3.6399999
-0.00314079999837797,-0.32000002,3.6399999
-0.0031403999983732954,-0.32000002,3.68
-0.003139999998368621,-0.32000002,3.6399999
-0.0031395999983639465,-0.36,3.6399999
-0.003139199998359272,-0.32000002,3.6399999
-0.0031387999983545976,-0.32000002,3.68
-0.003138399998349923,-0.36,3.6
-0.0031379999983452487,-0.36,3.6399999
-0.0031375999983405743,-0.36,3.6
-0.0031371999983359,-0.36,3.6399999
-0.0031367999983312254,-0.32000002,3.6399999
-0.003136399998326551,-0.36,3.6399999
-0.0031359999983218765,-0.36,3.6399999
-0.003135599998317202,-0.36,3.68
-0.0031351999983125277,-0.32000002,3.6399999
-0.0031347999983078532,-0.36,3.6399999
-0.003134399998303179,-0.36,3.6399999
-0.0031339999982985044,-0.32000002,3.6399999
-0.00313359999829383,-0.36,3.68
-0.0031331999982891555,-0.32000002,3.6399999
-0.003132799998284481,-0.32000002,3.6399999
-0.0031323999982798066,-0.36,3.6399999
-0.003131999998275132,-0.32000002,3.6399999
-0.0031315999982704577,-0.36,3.6399999
-0.0031311999982657833,-0.36,3.6399999
-0.003130799998261109,-0.32000002,3.6399999
-0.0031303999982564344,-0.36,3.6
-0.00312999999825176,-0.36,3.6399999
-0.0031295999982470855,-0.36,3.6399999
-0.003129199998242411,-0.32000002,3.6399999
-0.0031287999982377366,-0.36,3.6399999
-0.003128399998233062,-0.36,3.6399999
-0.0031279999982283878,-0.32000002,3.6399999
-0.0031275999982237133,-0.32000002,3.6399999
-0.003127199998219039,-0.32000002,3.6399999
-0.0031267999982143645,-0.36,3.6399999
-0.00312639999820969,-0.36,3.6399999
-0.0031259999982050156,-0.36,3.6399999
-0.003125599998200341,-0.36,3.6399999
-0.0031251999981956667,-0.32000002,3.6399999
-0.0031247999981909923,-0.36,3.6399999
-0.003124399998186318,-0.32000002,3.68
-0.0031239999981816434,-0.32000002,3.6399999
-0.003123599998176969,-0.36,3.6399999
-0.0031231999981722945,-0.36,3.6399999
-0.00312279999816762,-0.36,3.6399999
-0.0031223999981629456,-0.36,3.6399999
-0.003121999998158271,-0.32000002,3.6399999
-0.0031215999981535967,-0.32000002,3.6399999
-0.0031211999981489223,-0.36,3.6399999
-0.003120799998144248,-0.36,3.6399999
-0.0031203999981395734,-0.32000002,3.6399999
-0.003119999998134899,-0.36,3.6399999
-0.0031195999981302245,-0.32000002,3.6399999
-0.00311919999812555,-0.32000002,3.6399999
-0.0031187999981208757,-0.36,3.6399999
-0.0031183999981162012,-0.36,3.6399999
-0.003117999998111527,-0.36,3.6399999
-0.0031175999981068524,-0.32000002,3.6399999
-0.003117199998102178,-0.36,3.68
-0.0031167999980975035,-0.36,3.6399999
-0.003116399998092829,-0.32000002,3.6399999
-0.0031159999980881546,-0.32000002,3.6399999
-0.00311559999808348,-0.36,3.6399999
-0.0031151999980788057,-0.36,3.6399999
-0.0031147999980741313,-0.36,3.6399999
-0.003114399998069457,-0.32000002,3.6399999
-0.0031139999980647824,-0.36,3.6
-0.003113599998060108,-0.36,3.6399999
-0.0031131999980554335,-0.32000002,3.68
-0.003112799998050759,-0.32000002,3.6399999
-0.0031123999980460846,-0.36,3.6399999
-0.00311199999804141,-0.36,3.6399999
-0.0031115999980367358,-0.36,3.6399999
-0.0031111999980320613,-0.32000002,3.68
-0.003110799998027387,-0.32000002,3.6399999
-0.0031103999980227125,-0.36,3.6399999
-0.003109999998018038,-0.32000002,3.6399999
-0.0031095999980133636,-0.36,3.6399999
-0.003109199998008689,-0.36,3.6399999
-0.0031087999980040147,-0.36,3.6399999
-0.0031083999979993403,-0.32000002,3.6399999
-0.003107999997994666,-0.32000002,3.6
-0.0031075999979899914,-0.36,3.68
-0.003107199997985317,-0.36,3.6399999
-0.0031067999979806425,-0.32000002,3.68
-0.003106399997975968,-0.32000002,3.6399999
-0.0031059999979712936,-0.36,3.68
-0.003105599997966619,-0.32000002,3.6399999
-0.0031051999979619447,-0.32000002,3.6399999
-0.0031047999979572703,-0.32000002,3.68
-0.003104399997952596,-0.36,3.6399999
-0.0031039999979479214,-0.32000002,3.6399999
-0.003103599997943247,-0.32000002,3.6399999
-0.0031031999979385726,-0.32000002,3.6399999
-0.003102799997933898,-0.36,3.6399999
-0.0031023999979292237,-0.32000002,3.6399999
-0.0031019999979245492,-0.36,3.6399999
-0.003101599997919875,-0.32000002,3.6
-0.0031011999979152004,-0.32000002,3.68
-0.003100799997910526,-0.36,3.68
-0.0031003999979058515,-0.32000002,3.6399999
-0.003099999997901177,-0.36,3.6399999
-0.0030995999978965026,-0.36,3.6399999
-0.003099199997891828,-0.36,3.6
-0.0030987999978871537,-0.36,3.6399999
-0.0030983999978824793,-0.36,3.6399999
-0.003097999997877805,-0.36,3.6399999
-0.0030975999978731304,-0.32000002,3.6399999
-0.003097199997868456,-0.36,3.6399999
-0.0030967999978637815,-0.32000002,3.68
-0.003096399997859107,-0.36,3.6399999
-0.0030959999978544326,-0.32000002,3.6
-0.003095599997849758,-0.36,3.6
-0.0030951999978450838,-0.32000002,3.68
-0.0030947999978404093,-0.32000002,3.6399999
-0.003094399997835735,-0.32000002,3.6399999
-0.0030939999978310605,-0.36,3.6399999
-0.003093599997826386,-0.36,3.6399999
-0.0030931999978217116,-0.32000002,3.6399999
-0.003092799997817037,-0.32000002,3.68
-0.0030923999978123627,-0.36,3.68
-0.0030919999978076883,-0.36,3.6399999
-0.003091599997803014,-0.36,3.6399999
-0.0030911999977983394,-0.32000002,3.6399999
-0.003090799997793665,-0.32000002,3.6399999
-0.0030903999977889905,-0.36,3.68
-0.003089999997784316,-0.32000002,3.6399999
-0.0030895999977796416,-0.36,3.6399999
-0.003089199997774967,-0.32000002,3.6399999
-0.0030887999977702927,-0.36,3.6399999
-0.0030883999977656183,-0.32000002,3.6399999
-0.003087999997760944,-0.32000002,3.68
-0.0030875999977562694,-0.36,3.6399999
-0.003087199997751595,-0.36,3.6399999
-0.0030867999977469206,-0.36,3.6399999
-0.003086399997742246,-0.36,3.6
-0.0030859999977375717,-0.32000002,3.6399999
-0.0030855999977328972,-0.32000002,3.6399999
-0.003085199997728223,-0.32000002,3.68
-0.0030847999977235484,-0.36,3.6399999
-0.003084399997718874,-0.32000002,3.6399999
-0.0030839999977141995,-0.36,3.6399999
-0.003083599997709525,-0.32000002,3.6399999
-0.0030831999977048506,-0.32000002,3.6399999
-0.003082799997700176,-0.36,3.6399999
-0.0030823999976955017,-0.36,3.6399999
-0.0030819999976908273,-0.36,3.6399999
-0.003081599997686153,-0.32000002,3.6399999
-0.0030811999976814784,-0.32000002,3.6399999
-0.003080799997676804,-0.36,3.68
-0.0030803999976721295,-0.36,3.6399999
-0.003079999997667455,-0.32000002,3.6399999
-0.0030795999976627807,-0.32000002,3.68
-0.003079199997658106,-0.36,3.6
-0.0030787999976534318,-0.36,3.6399999
-0.0030783999976487573,-0.32000002,3.6399999
-0.003077999997644083,-0.36,3.6
-0.0030775999976394085,-0.32000002,3.6399999
-0.003077199997634734,-0.36,3.6399999
-0.0030767999976300596,-0.32000002,3.6399999
-0.003076399997625385,-0.32000002,3.6399999
-0.0030759999976207107,-0.36,3.6399999
-0.0030755999976160363,-0.32000002,3.6399999
-0.003075199997611362,-0.36,3.6399999
-0.0030747999976066874,-0.32000002,3.6399999
-0.003074399997602013,-0.36,3.6399999
-0.0030739999975973385,-0.36,3.6399999
-0.003073599997592664,-0.32000002,3.6399999
-0.0030731999975879896,-0.32000002,3.6399999
-0.003072799997583315,-0.36,3.6399999
-0.0030723999975786408,-0.36,3.6399999
-0.0030719999975739663,-0.32000002,3.68
-0.003071599997569292,-0.36,3.6399999
-0.0030711999975646174,-0.32000002,3.6399999
-0.003070799997559943,-0.32000002,3.6399999
-0.0030703999975552686,-0.36,3.68
-0.003069999997550594,-0.32000002,3.6399999
-0.0030695999975459197,-0.32000002,3.6399999
-0.0030691999975412452,-0.36,3.6399999
-0.003068799997536571,-0.32000002,3.6399999
-0.0030683999975318964,-0.32000002,3.6399999
-0.003067999997527222,-0.32000002,3.6399999
-0.0030675999975225475,-0.36,3.6399999
-0.003067199997517873,-0.32000002,3.6399999
-0.0030667999975131986,-0.36,3.6399999
-0.003066399997508524,-0.36,3.6399999
-0.0030659999975038497,-0.36,3.6399999
-0.0030655999974991753,-0.32000002,3.6399999
-0.003065199997494501,-0.36,3.6399999
-0.0030647999974898264,-0.32000002,3.6399999
-0.003064399997485152,-0.32000002,3.6399999
-0.0030639999974804775,-0.36,3.68
-0.003063599997475803,-0.36,3.6399999
-0.0030631999974711287,-0.36,3.68
-0.003062799997466454,-0.36,3.6399999
-0.0030623999974617798,-0.36,3.6399999
-0.0030619999974571053,-0.32000002,3.6399999
-0.003061599997452431,-0.36,3.6399999
-0.0030611999974477565,-0.32000002,3.6399999
-0.003060799997443082,-0.32000002,3.6399999
-0.0030603999974384076,-0.32000002,3.6399999
-0.003059999997433733,-0.36,3.6399999
-0.0030595999974290587,-0.36,3.6399999
-0.0030591999974243843,-0.36,3.68
-0.00305879999741971,-0.36,3.6399999
-0.0030583999974150354,-0.32000002,3.68
-0.003057999997410361,-0.36,3.6399999
-0.0030575999974056865,-0.36,3.6399999
-0.003057199997401012,-0.36,3.6399999
-0.0030567999973963376,-0.36,3.6399999
-0.003056399997391663,-0.36,3.6399999
-0.0030559999973869888,-0.32000002,3.68
-0.0030555999973823143,-0.32000002,3.6399999
-0.00305519999737764,-0.32000002,3.6399999
-0.0030547999973729654,-0.36,3.6399999
-0.003054399997368291,-0.36,3.6
-0.0030539999973636166,-0.32000002,3.6399999
-0.003053599997358942,-0.32000002,3.6399999
-0.0030531999973542677,-0.36,3.68
-0.0030527999973495932,-0.32000002,3.6399999
-0.003052399997344919,-0.32000002,3.6399999
-0.0030519999973402444,-0.32000002,3.6399999
-0.00305159999733557,-0.36,3.68
-0.0030511999973308955,-0.32000002,3.6399999
-0.003050799997326221,-0.36,3.6399999
-0.0030503999973215466,-0.32000002,3.6399999
-0.003049999997316872,-0.32000002,3.6399999
-0.0030495999973121977,-0.36,3.6399999
-0.0030491999973075233,-0.36,3.68
-0.003048799997302849,-0.36,3.6399999
-0.0030483999972981744,-0.32000002,3.6399999
-0.0030479999972935,-0.36,3.6399999
-0.0030475999972888255,-0.36,3.68
-0.003047199997284151,-0.32000002,3.68
-0.0030467999972794767,-0.32000002,3.6399999
-0.0030463999972748022,-0.32000002,3.6399999
-0.0030459999972701278,-0.40000004,3.6399999
-0.0030455999972654533,-0.32000002,3.6399999
